,tsne1,tsn2
0,-68.89441,13.708607
1,-4.0038695,25.754747
2,-66.125694,28.723392
3,-77.126015,29.25457
4,-59.994225,-29.497269
5,37.32416,26.517754
6,68.94447,-4.1167107
7,64.488075,-34.326622
8,35.97757,48.068832
9,4.420731,3.1836321
10,4.260869,54.158085
11,-57.077198,-0.25301358
12,-20.317114,-18.959732
13,-17.490541,14.579343
14,20.96436,5.967887
15,54.41604,57.903004
16,-59.623913,-0.4427448
17,-27.655243,52.91292
18,37.139053,33.24258
19,30.495155,18.228409
20,-78.105835,-14.739952
21,-4.571286,52.210213
22,-12.153332,17.844816
23,-15.549222,-42.729527
24,18.968294,-47.84414
25,-45.858936,-74.88038
26,-34.815033,55.45594
27,16.529156,-47.40574
28,0.72777295,-33.049496
29,49.6782,-48.118633
30,-74.354454,-7.9937296
31,-60.01735,-5.253753
32,-22.404379,14.219562
33,-51.602047,-43.61171
34,-32.828735,-22.787987
35,43.973854,-5.6166596
36,-24.849014,13.254584
37,11.505628,-46.45363
38,-65.38422,39.24219
39,-8.609417,26.696417
40,30.68469,-72.71004
41,2.1954527,-50.3432
42,13.340882,-36.745613
43,8.618567,70.22956
44,-57.539494,58.309235
45,-79.44836,-25.146118
46,69.346275,-8.5605135
47,9.312545,2.2852566
48,-55.766262,-33.27151
49,22.768972,1.2652961
50,-51.79416,-30.87428
51,40.1114,42.78575
52,-74.70305,-26.295324
53,65.20246,8.971342
54,50.392403,49.191586
55,9.633199,-76.069435
56,-81.87701,23.865356
57,5.1268106,25.512949
58,-33.814976,-32.353836
59,39.34371,-5.2181168
60,33.551704,7.2206755
61,46.594322,-2.6542206
62,-58.372974,-49.81976
63,36.891468,11.655534
64,11.51388,-15.1116705
65,-7.5381465,-5.2136645
66,-5.0344944,-68.84338
67,70.80238,-4.500448
68,-6.380973,29.344099
69,-11.01589,43.788578
70,-71.64024,-3.6455657
71,-22.78653,15.3436365
72,20.633396,-26.000034
73,41.240566,26.313414
74,-6.9485765,-45.584755
75,-74.59009,39.328506
76,-19.597788,27.172577
77,52.94261,-15.586521
78,-21.485758,-24.058575
79,-62.22657,-50.317764
80,-42.72125,19.24045
81,21.037548,28.476818
82,17.525148,-47.692814
83,34.94451,17.737017
84,21.446993,21.308905
85,20.123339,35.668415
86,-40.30434,-37.9731
87,22.46996,40.478317
88,-34.235207,54.36972
89,-10.387123,38.43452
90,-21.060207,6.799244
91,52.35241,34.27431
92,2.9590845,-26.192074
93,69.25826,-36.508842
94,-72.94286,24.001165
95,80.05815,11.399847
96,18.147722,48.66659
97,-5.691549,-16.93319
98,58.859276,-10.281816
99,8.568735,4.205098
100,-48.129696,-13.547779
