,tsne1,tsn2
0,-37.221104,7.0546083
1,-53.409653,-24.660122
2,-33.81185,17.588467
3,-31.210201,16.433107
4,15.24932,56.758507
5,-18.143064,-42.267677
6,-8.4581,-66.572716
7,-10.688152,-5.747895
8,5.6759863,52.258286
9,-27.821646,-39.629795
10,-23.116623,55.87309
11,24.908669,57.489704
12,-48.264168,29.199245
13,-45.74827,-8.3259
14,-19.324617,-55.131756
15,-49.712116,-40.66391
16,24.785667,57.704365
17,-60.585724,-0.0602991
18,-3.3869245,48.17653
19,-20.088095,-34.739586
20,-16.613863,17.33891
21,4.0237136,-63.626717
22,25.700815,-55.207886
23,-9.905754,33.3673
24,14.131771,-20.584284
25,48.8291,25.742199
26,-66.62714,7.6740084
27,40.305496,38.57822
28,33.605408,18.773111
29,0.5412967,-17.010014
30,-19.973866,19.765985
31,27.848507,52.1836
32,24.211748,-58.31498
33,14.770612,49.71699
34,32.373123,-22.177608
35,-6.8266273,-39.630024
36,24.224434,-58.856117
37,-51.007603,-18.77812
38,26.187437,3.163147
39,28.495077,-10.442436
40,55.35212,-41.57664
41,25.560152,19.275726
42,70.776886,-13.372709
43,63.904766,6.8076463
44,7.9604254,9.029942
45,-12.700554,12.09635
46,-9.836044,-66.17854
47,-33.759144,-52.431637
48,17.346857,53.551895
49,-31.925768,-17.532547
50,9.357687,39.612164
51,2.1226108,45.093487
52,-15.355109,11.427902
53,-24.149471,45.309227
54,-1.1903098,58.077446
55,26.760443,37.18527
56,-28.63342,11.133012
57,-32.506058,-48.578938
58,31.347506,-20.794003
59,44.511105,0.7691616
60,-28.247713,-20.93962
61,-13.919388,-23.110636
62,20.187468,50.649647
63,-20.71355,-48.98863
64,2.0467513,-34.640896
65,-61.476086,25.699574
66,16.199133,-32.50858
67,-24.917053,38.76403
68,8.033015,-61.999565
69,25.890333,-13.693087
70,-24.2688,22.09406
71,7.999577,-48.075813
72,61.193985,-6.72485
73,-22.189024,-30.649916
74,-20.220655,-0.07245369
75,39.33639,30.043255
76,7.62701,-57.870636
77,3.6630385,27.240368
78,49.75397,21.75749
79,19.728819,46.728497
80,-69.19379,0.8227551
81,-18.56103,-40.68964
82,39.310837,40.275402
83,-24.521866,-29.42288
84,-14.696783,-48.39849
85,-2.9265156,-31.96675
86,27.994759,-26.116846
87,-31.57004,-39.64362
88,-67.305916,7.0432878
89,32.607067,-8.816113
90,17.924484,-62.00241
91,-2.992578,-46.215275
92,-42.26971,38.388596
93,-11.320318,-8.9312525
94,-30.572042,14.487544
95,-31.360384,39.589874
96,-7.340362,48.11192
97,-45.62667,24.222248
98,44.80958,48.09234
99,-35.93863,-26.289524
100,46.45011,-34.105206
101,10.079416,-7.9939475
102,29.413673,31.839365
103,-25.179611,-8.867105
104,27.503258,-14.447102
105,39.11805,-52.88454
106,-54.171043,32.890175
107,12.339393,-37.03398
108,-10.140873,-28.523968
109,-66.78587,-11.63937
110,46.913902,52.009415
111,0.23399432,-29.315617
112,-4.092767,-30.709373
113,-55.187363,-23.20876
114,-29.974047,-23.85399
115,-66.22682,4.2786255
116,12.6212435,14.262307
117,5.6488786,-13.239874
118,-44.649677,-10.303188
119,-26.618671,6.9812307
120,-33.92062,4.03052
121,-32.205048,-45.68332
122,-50.331444,20.46104
123,-19.238663,-37.636837
124,-23.210915,-4.6659274
125,46.508022,-54.629898
126,40.381355,-26.350546
127,-0.5938587,42.25269
128,-10.009373,-2.9725754
129,10.326128,-60.479298
130,-0.35286206,56.906414
131,5.252412,-24.309038
132,62.43107,6.4133396
133,-54.951218,3.5351036
134,17.186329,-48.77792
135,34.61672,7.573891
136,-11.098427,67.36358
137,8.507414,17.36327
138,47.821785,-48.58117
139,-49.163887,-18.796711
140,53.313274,-5.577723
141,64.5015,1.7402967
142,-36.650333,7.959556
143,-8.593657,44.2007
144,17.524725,34.242855
145,1.4346517,-52.443718
146,66.83808,-8.23077
147,-4.4931145,51.096363
148,-61.31951,3.116602
149,-46.483673,35.07396
150,-0.4001465,-11.125255
151,-15.776855,43.745083
152,-7.938103,-2.2287347
153,22.08929,-56.108093
154,26.454023,-4.562533
155,2.5752769,-50.134068
156,-13.76206,-49.071644
157,-8.227825,2.572448
158,0.1350563,62.17158
159,-3.7148821,-35.605766
160,53.37917,-42.1452
161,-44.961437,0.15791969
162,-2.7299263,68.21541
163,-15.799099,28.86697
164,-30.385271,6.1901135
165,3.4652152,-16.555264
166,24.69821,46.27429
167,54.790405,-13.104101
168,-12.2807,73.095345
169,-37.073902,13.785398
170,-27.699827,-21.59156
171,49.67486,33.590397
172,-52.002254,21.81343
173,13.115939,-55.206768
174,11.295112,-30.170462
175,-57.84345,0.47553658
176,31.17579,57.478962
177,-2.5840855,-25.304277
178,-20.397772,68.08732
179,-30.475737,-38.06167
180,65.4414,-0.44190368
181,46.916897,-27.700026
182,-3.0490534,-7.0629587
183,34.922024,-21.98498
184,37.79996,-30.560373
185,-35.91987,-13.266722
186,-25.016787,42.02334
187,-65.12947,3.5778255
188,45.997246,30.184326
189,25.125074,-56.826633
190,-46.61237,34.769054
191,-6.2788734,-31.783678
192,-36.474052,7.971841
193,-5.0128813,-29.969988
194,-3.6106231,-31.963474
195,16.102745,-56.381477
196,18.310877,-64.160225
197,-18.283394,10.525969
198,-8.067917,-8.997203
199,12.748629,-20.414469
200,11.082449,-18.394243
201,-29.64053,3.9807591
202,51.515575,37.13966
203,56.38414,17.96071
204,-63.170063,-3.9237976
205,18.093355,-0.48075417
206,37.125774,-32.79466
207,-37.968575,-8.599154
208,27.7694,31.798815
209,2.1049619,42.999393
210,67.40184,-8.407049
211,55.88068,2.861787
212,-2.5984068,-37.155495
213,-8.949244,-9.565114
214,45.593216,7.032055
215,28.543324,53.568386
216,52.74857,-15.468306
217,21.986214,27.446333
218,5.8286877,-12.896032
219,-54.34747,32.776253
220,30.720663,-25.61703
