,INCOME,WEALTH1,WWIIVETS,FEDGOV,WEALTH2,CARDPROM,CARDPM12,NUMPRM12,RAMNTALL,NGIFTALL,MINRAMNT,MAXRAMNT,LASTGIFT,AVGGIFT,RFA_2F,elapsed_MINRDATE,elapsed_MAXRDATE,elapsed_LASTDATE,LASTGIFTAMOUNTCATEGORY,MDONOR_GIVING_RECENCY
4,-0.33333333333333326,-0.5555555555555556,0.07070707070707072,-0.9540229885057472,0.4666666666666666,0.3999999999999999,0.05263157894736836,-0.37662337662337664,-0.9491131756756757,-0.6949152542372881,-0.994,-0.995995995995996,-0.97,-0.9888273339852957,-0.33333333333333326,-0.6920161697827186,-0.8981267641775725,0.12944523470839275,0.3333333333333335,-1.0
13,0.19999999999999996,0.28888888888888886,-0.43434343434343425,-0.9770114942528736,0.33333333333333326,-0.26666666666666683,-0.26315789473684215,-0.2727272727272727,-0.9510135135135135,-0.9067796610169492,-0.99,-0.9819819819819819,-0.95,-0.9616888380291524,-0.9999999999999999,-0.6076301162203134,-0.7965101360020529,-0.8236130867709814,0.9999999999999996,-1.0
26,0.9999999999999998,0.8222222222222222,0.09090909090909105,-0.9080459770114943,0.6888888888888889,-0.8333333333333335,-0.4736842105263158,-0.7402597402597402,-0.9921875,-1.0,-0.9,-0.9819819819819819,-0.9,-0.9024460020025477,-0.9999999999999999,-0.8918645780697323,-0.8901719271234283,0.21763869132290203,0.9999999999999996,-1.0
30,-0.39999999999999997,-0.2888888888888889,-0.6767676767676767,-0.8850574712643678,-0.28888888888888886,-0.7000000000000002,-1.0,-0.974025974025974,-0.9883868243243243,-0.9152542372881356,-0.996,-0.9979979979979979,-0.986,-0.9901951860183953,0.3333333333333335,-0.3688731682668014,-0.6171413908134462,0.21763869132290203,-1.0,-1.0
44,0.33333333333333326,0.7777777777777777,-0.2929292929292928,-0.8160919540229885,1.0,0.23333333333333317,0.1578947368421053,-0.2727272727272727,-0.9313766891891893,-0.7627118644067796,-0.99,-0.995995995995996,-0.99,-0.9792343850956662,0.3333333333333335,-1.0,-0.6479343084423915,-1.0,0.3333333333333335,-1.0
46,0.0,0.06666666666666665,-0.6767676767676767,-0.5862068965517242,0.11111111111111116,-0.16666666666666674,-0.7894736842105263,-0.8701298701298701,-0.9767736486486487,-0.8728813559322034,-0.994,-0.9979979979979979,-0.98,-0.9871799456443716,-0.9999999999999999,-0.2074279939363315,-0.42956120092378747,0.9118065433854907,-0.3333333333333335,-1.0
50,-0.33333333333333326,0.11111111111111109,-0.43434343434343425,-0.8160919540229885,-0.11111111111111116,0.033333333333333215,-0.052631578947368474,-0.24675324675324672,-0.9571368243243243,-0.8220338983050848,-0.99,-0.9955955955955955,-0.98,-0.9829130960585041,-0.33333333333333326,-0.3539666498231431,-0.8981267641775725,-1.0,0.3333333333333335,-1.0
74,0.0,0.42222222222222217,-1.0,-1.0,0.3333333333333333,-2.220446049250313e-16,-0.052631578947368474,-0.24675324675324672,-0.975320945945946,-0.8305084745762712,-0.996,-0.9979979979979979,-0.984,-0.9901892909930771,-0.33333333333333326,-0.3764527539161193,-0.8981267641775725,-0.9118065433854907,-0.3333333333333335,-1.0
76,-4.4408920985006264e-17,0.06666666666666662,-0.898989898989899,-0.1954022988505747,-0.2888888888888889,-0.6666666666666667,-0.368421052631579,-0.6883116883116883,-0.9911317567567568,-0.9915254237288136,-0.95,-0.98998998998999,-0.94,-0.9475039336289237,-0.9999999999999999,-0.7842344618494189,-0.8901719271234283,0.21763869132290203,0.9999999999999996,-1.0
88,0.9999999999999998,0.7777777777777777,0.5757575757575759,-0.9770114942528736,0.6,-0.8333333333333335,-0.4736842105263158,-0.7142857142857143,-0.9921875,-1.0,-0.9,-0.9819819819819819,-0.9,-0.9024460020025477,-0.9999999999999999,-0.9075290550783224,-0.9060816012317167,0.04125177809388347,0.9999999999999996,-1.0
107,0.33333333333333326,0.11111111111111116,-0.7777777777777778,-0.7701149425287357,0.11111111111111116,0.06666666666666665,-0.368421052631579,-0.2727272727272727,-0.8591638513513513,-0.8559322033898304,-0.98,-0.9619619619619619,-0.8,-0.9269219154781587,-0.9999999999999999,-0.17660434562910554,-0.8352578906851424,-0.47652916073968754,0.9999999999999996,-0.5
110,0.33333333333333326,0.7777777777777777,-0.2525252525252525,-1.0,0.7777777777777777,-2.220446049250313e-16,-0.5789473684210527,-0.7922077922077921,-0.9645270270270271,-0.8305084745762712,-0.99,-0.9971971971971971,-0.98,-0.9853144519144331,-0.9999999999999999,-0.5227387569479536,-0.14831921991275343,1.0,-0.3333333333333335,-1.0
118,0.9999999999999998,1.0,-0.33333333333333326,-0.9540229885057472,1.0,-0.06666666666666676,-0.1578947368421053,-0.09090909090909083,-0.7141047297297297,-0.728813559322034,-0.96,-0.96996996996997,-0.91,-0.9196195974916047,-0.9999999999999999,-0.5073269327943406,-0.02335129586861684,-0.9118065433854907,0.9999999999999996,-1.0
125,-0.39999999999999997,0.11111111111111105,-0.4747474747474747,-1.0,0.11111111111111108,-0.9333333333333335,-0.8947368421052632,-0.8961038961038961,-0.9890202702702703,-0.9915254237288136,-0.95,-0.985985985985986,-0.92,-0.9374910599341735,-0.33333333333333326,-0.8764527539161193,-0.8745188606620478,0.391180654338549,0.9999999999999996,-1.0
138,-1.0,0.11111111111111116,-0.3535353535353535,-1.0,0.1555555555555555,-0.6333333333333334,-0.368421052631579,-0.6623376623376623,-0.965793918918919,-0.9745762711864406,-0.954,-0.9779779779779779,-0.908,-0.9149620941209854,-0.33333333333333326,-0.8074785245073269,-0.8196048242237618,0.21763869132290203,0.9999999999999996,-1.0
148,0.6666666666666667,0.8222222222222222,-0.6565656565656566,-0.8620689655172413,-0.022222222222222254,-0.6666666666666667,-0.368421052631579,-0.6883116883116883,-0.9812077702702703,-0.9915254237288136,-0.9,-0.9811811811811811,-0.896,-0.9004434272635976,-0.9999999999999999,-0.8153107630116221,-0.8901719271234283,0.21763869132290203,0.9999999999999996,-1.0
161,0.6666666666666667,0.7777777777777777,-0.6565656565656566,-0.9080459770114943,0.7777777777777777,-2.220446049250313e-16,-0.368421052631579,-0.6363636363636364,-0.9233530405405406,-0.7033898305084745,-0.99,-0.9955955955955955,-0.98,-0.9816589583441285,1.0,-0.5611419909044972,-0.39030023094688215,0.04125177809388347,-0.3333333333333335,-1.0
168,-0.6666666666666666,-0.33333333333333337,-1.0,-0.3563218390804598,-0.6888888888888889,-0.8333333333333335,-0.4736842105263158,-0.7402597402597402,-0.9978885135135135,-1.0,-0.954,-0.9927927927927928,-0.954,-0.9565155199541989,-0.9999999999999999,-0.8996968165740273,-0.8981267641775725,0.12944523470839275,0.3333333333333335,-1.0
185,0.33333333333333326,0.11111111111111116,0.010101010101010166,-0.7701149425287357,0.8666666666666666,-0.7666666666666668,-0.368421052631579,-0.24675324675324672,-0.9552364864864865,-0.983050847457627,-0.95,-0.9619619619619619,-0.8,-0.8523816335287964,0.3333333333333335,-0.8688731682668015,-0.882473697716192,0.12944523470839275,0.9999999999999996,-1.0
187,0.4666666666666666,0.24444444444444438,-0.07070707070707061,-0.9770114942528736,0.5555555555555556,-0.8333333333333335,-0.4736842105263158,-0.7142857142857143,-0.9921875,-1.0,-0.9,-0.9819819819819819,-0.9,-0.9024460020025477,-0.9999999999999999,-0.8996968165740273,-0.8981267641775725,0.12944523470839275,0.9999999999999996,-1.0
213,-1.0,0.5555555555555554,-0.13131313131313127,-0.9770114942528736,0.5555555555555554,-2.220446049250313e-16,-0.368421052631579,-0.6883116883116883,-0.950168918918919,-0.788135593220339,-0.99,-0.995995995995996,-0.986,-0.9833962347193824,0.3333333333333335,-0.8377968671045983,-0.11701308698999235,0.5647226173541959,-0.3333333333333335,-1.0
227,0.6666666666666667,0.7777777777777777,-0.23232323232323226,-0.9770114942528736,-0.5555555555555556,-0.5000000000000001,-0.368421052631579,-0.1428571428571428,-0.9598817567567568,-0.923728813559322,-0.98,-0.9915915915915915,-0.95,-0.9619224717493641,-0.33333333333333326,-0.5922182920667004,-0.8668206312548113,-0.38833570412517826,0.9999999999999996,-1.0
259,-0.6666666666666666,-0.33333333333333337,0.010101010101010166,-0.7011494252873564,-0.11111111111111116,-0.7000000000000002,-0.368421052631579,-0.6103896103896104,-0.9966216216216216,-0.9491525423728814,-0.994,-1.0,-0.99,-0.9942783578885998,1.0,-0.8842849924204144,-0.8432127277392866,0.04125177809388347,-1.0,-1.0
260,-0.6666666666666666,-0.7777777777777778,-0.41414141414141414,-0.8620689655172413,-0.5555555555555556,-0.13333333333333341,-0.368421052631579,-0.2727272727272727,-0.942356418918919,-0.8644067796610169,-0.98,-0.991991991991992,-0.958,-0.9688843639295958,0.3333333333333335,-0.7920667003537141,-0.7495509366179112,0.391180654338549,0.3333333333333335,-1.0
